Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.09321,0,0,0,0,0,0,0,0,0.25,0,0,0,-0.160903,0.18687,-0.07311,0.00982164,1,0,0,0,-0.722978,0.744217,-0.272285,0.0347963,0,0,0,0,0,0,0,0
1.70625,0,0,0,0,0,0,0,0,0.25,0.190099,0.143765,0.029415,0.736575,-1.25549,0.667088,-0.117242,0.25,-0.248705,0.204071,-0.00991632,0.323632,-0.519252,0.265939,-0.0455166,0,0,0,0,0,0,0,0
